,Question,Answer
4861,I dont know when were going to have vacation to do it laughter pause  , it looks just like orchids in different colors  
4862,What F uh   ,Sure 
4863,F Oh  yeah , yeah   
4864,C and  I hope  ,  He    he  refuted it  
4865,yeah ,They did not show them care to these small children who are being left 
4866,Its that real,D Well  I just 
4867,Right  ,it seems like it is totally different  
4868,D Well  I guess that was good that  you were   you were  hearing it from other students ,Yes  
4869,D Well  Ive accepted that too laughter ,C and  F uh  
4870,C But   ,C and  I was dead set against it breathing 
4871,Uhhuh ,Yeah 
4872,C so  occasionally Ill bring whatever Ive got laying around the car or the like and throw them in there  ,Uhhuh 
4873,D You know  what Id like to see a little more  ,Yeah 
4874,Right ,C so  thats  
4875, I  I  think D well  thats probably the idea  ,I always use it for something I want not something I need 
4876,    ,Yeah 
4877,Uhhuh ,I really enjoyed skiing   F Uh  and  a lot of outdoor activities  
4878, its a  its a   catalytic converter  ,I guess ties  
4879,E I mean  I see  ,C and  I wasnt really involved in  the  the  paper training
4880,C and  you wish so  badly that you could do them  , F Oh     Ive got the big  three sixty in there gas guzzler  
4881,You too ,Laughter
4882,C And     I  I   I   think  that could  thats  a formula that could be applied everywhere,Yeah 
4883,F Oh  no ,C and  my mom has to take care of her  pretty much  
4884, I  F um  I  wish  E  I  I  mean  Id seen it  when  when   D you know  it was originally in the theaters  ,C and  F uh    theyve been   theyve been   under   under  the oppression that theyve been under for so  long that now they have some freedoms  
4885,Now  it is going to grow about  F um  the plant itself will grow about   eighteen inches tall ,Theyve had D like  fortyeight murders  since the beginning of the year 
4886,C and  so that we had just  ,they had the full   range    
4887, D you know    th  D you know  what   the  important thing is that they be caught and not be a danger to society , Throatclearing smaller companies have bonus plans where I think in a large company its hard to do that because therere just so many people to deal with  
4888,I su  ,Im glad you put it that way 
4889,I do have friends that watch programs  ,this was given to us by some friends 
4890,right ,Im digressing here  
4891,F Oh  really ,mines F uh  seven years old  
4892,Uhhuh ,A lot of people just take D you know  that week  
4893, Wow  ,That 
4894,C and  I cant say that theres too much of that there ,C and  I have recently F uh  sigh  gotten out of debt and everything  
4895,C and   I  D you know  I   wouldnt mind having  , W  I  E I mean    it would  it would  have to be tough going somewhere you dont know the culture usually I guess 
4896, C And    C and   if they dont like the way we do it just  get off our  dont worry about it   C And  I think ,you want to establish  
4897,Squeak, neighbor or something 
4898,maybe one of these days Ill  ,Yeah  
4899,I certainly havent done that in sixteen years or whatever ,E I mean   they  they  leave it up to you and your judgment   to 
4900,yeah  ,C But  D anyway  it was really good talking to you  
4901,They  ,F Oh        really pretty 
4902,C and then  Id really like to get into that ,C and  its been kind of scary  
4903,all three of my daughters are married  ,Six seven and eight 
4904,D You know  ,Yeah  
4905, Right   ,D Any way   this  this  F um  school system thing  
4906,when you have your slow readers  ,that was a lifesaver 
4907,  you  you  miss that ,D Now  does your husband usually go with you then 
4908,Uhhuh ,Laughter
4909,Yeah ,Uhhuh 
4910,its amazing how much better I feel ,carpet cleaning laughter 
4911,on something like that they wouldnt really vote on it or anything though ,Yeah  
4912,Clicking talking breathing F Uh  lipsmack lets see  ,with the economy going the way it is and everything that was nearly ridiculous 
4913,not actually laughter ,C or   
4914,We do  ,laughter  How are we going to make that happen 
4915,D You know  Ive made D like   little Swedish meatballs  ,I think thats biggest problem  
4916, D you know  even though right now Im not  driving an American car  ,F Uh   C and    
4917,Laughter, C Or   C or   something yeah 
4918, at least from academia  , to D you know  do the bushes and all of that sort of thing 
4919, I  I  guess I havent been in a situation where  its  its  been threatening  to  to  me  F Uh  ,Yeah noise 
4920,C and  do whatever they want  ,They get F uh  just one bloom on the plant  
4921,C and   I could   ,Okay   
4922,I dont D you know  ,Uhhuh 
4923,Its ,Right 
4924, for elderly people to live on  ,C but  I guess when you think of it everybody has some sort of aerosol in their home 
4925,you cant  ,Identify themselves yeah 
4926,Right ,And found that F uh  more creative avenues were the right answer for us 
4927,  C and   F uh  lipsmack it really  ,I havent 
4928,Yeah ,F uh  what base of communications  would you be most interested in getting in to 
4929,C but  theyre just a real pretty boot  ,My husband says I used to complain to pay sixty dollars to get licensed in Texas  
4930,gosh  ,C But  we never were taught  
4931, C And  that  C and  they  always cooked  ,D Well  F uh  every once in a while I go noise but  it  it   has to be D like  somebody that I like  
4932,theres an afflu ,Bye 
4933,yeah  ,Yeah 
4934,     I cant believe Im just drawing a blank because Ive s ,if youre alone in the car 
4935,C and  Im not ,Right 
4936,Uhhuh ,Uhhuh 
4937,sometimes  when  I  if you  go out there   during the day you just fry under the sun ,F Oh  really 
4938,I dont want to vote  ,You got the term 
4939, C So   C and    they hope to boost the  they hope to boost the  learning of the children,C so  
4940,Its been good talking to you , I  I   took one off my little Buick I had  
4941, C and    C and    F uh  D you know   we also  come winter time wed  stick them on sleds  ,F Um  they had some flooding in Houston the other day real real bad 
4942, C And   C and    F uh  they have different things  they will  they will  put them down on the floor  ,Yeah  
4943,C and  we exercise ,C and  E I mean  everybody calls  us and wants to give us a credit card  
4944,Thank you ,E I mean  D you know  if you get  them young and everything before they go kind of   nuts  
4945,I think so ,Yes 
4946,an I,Yes laughter  
4947, C and    C and   F uh  upgraded it and put things in there and dibbled and  dabbled  ,C So  F uh  Im sort of at a loss where thats concerned  
4948,Laughter D Well  we spent last week end in Charlotte with real good friends that had just,Uhhuh 
4949,Uhhuh ,Uhhuh 
4950,C and  they in fact used some of the equipment that had been left over  ,Uhhuh 
4951,F Uh  this is  a  a   question that hit pretty close to home  ,F Um  D now  at this particular time  the children were two and six  
4952,Yeah ,C and  my older brother has paid his entire way  
4953, until  I can get a real salary and then get taxed more  ,How do you feel though about  
4954,C but  F uh  to make a good living there really around here there just isnt too much ,D well  I  suppose you could  F Uh  
4955,C But  I dont know  ,C And  these kids work really hard 
4956,F Oh  thats tough  , what  
4957,C and  it is a splendid newspaper , C but   C but   who knows how its supposed to all end laughter 
4958,C and  F uh  I guess we were selling parts to the automotive industry or whatever  ,F Uh  true  
4959,C and  he was like F oh  my God  ,and not have to go through this process 
4960,C And  F uh  I find that very interesting  that  that  ,Laughter
4961,In fact Id rather read sometimes than watch T V ,we did not know Italian  
4962,Whether it would be going to  ,D Well  I know what it looks like 
4963,Yeah ,F Uh  we have one  
4964,I  know  ,It seems like when it gets stuck in a rain pattern thats all it does 
4965,Youre young ,Would you not 
4966,C so  theres never any surplus coming in to counter the deficit that were running  ,Uhhuh 
4967, I  I   dont feel like theyre a benefit to society in any way  ,D well  it really wasnt quite  s  as  bad as you thought  was it  was it  
4968,D well  its very therapeutic  ,I came from a family of six 
4969,Yeah ,Seems like sometimes hobbies do that  
4970,thats part of it  ,Uhhuh 
4971,I guess it depends on the person  depends on how laughter motivated you are ,D like  we dont really ski  
4972,C And  F uh  we had a review today  ,Right now Im busy chasing my kids 
4973,Huh ,C Because  if they turn around  they can get away  they get away  with it  
4974, F uh  records  of  of  F uh  known felons , What  F uh  
4975,we have cable  , C and so   theres   F uh  theres   plenty of scholarships out there  
4976,C And  that was the most difficult thing of all to find  the  the  right people the qualified people ,C and  thats no cartoons for my little boy   
4977,C Or  just never said anything ,We had a house and a home  and  
4978,Exactly   ,C But  even in Georgia thats the attitude for the most part  
4979,C and  Id give anything to have that right now  in my  in my  regular li  , This other guy   I got this guy  from New York  
