Question,Answer
F Oh  yeah , were  pretty strung out all over  
Okay  ,What do they have to do with one another 
Uhhuh ,C so  they had a really nice balance  
C but ,C And so  F um  a lot of the money isnt put into that  
D Well  we were from North F um  Carolina  ,I dont know exactly what it is  
C So  theres a lot of D you know  activities a lot of pluses and common land  sigh  ,  Its  F uh  its   its  not like it used to be even  in  in  the years of my growing up 
I know  ,I can say  that I think  my  my  favorite spots are still  to go  to go  where theres  mountains  and   and  a lot of trees  and  and  wildlife to  view  
F Oh  okay faint , C and  it appears as though that F uh  F oh   in the fifties or sixties when some of these houses were built F uh   they used a lot of F uh  semigloss type enamel for ceiling paints  
F Uh  D well  F uh  we dont have any children  ,C but  we dont give them those laughter 
Childtalking Ive never heard of anything like that , C But   C but   thats one reason  
 do tours  ,Thats true  
  I  D you know  C and  D you know  the   it seems to me  that what happened  in the  in the  election that a lot of the people A they said particularly   the  the   F uh  I think its Hispanics   dont vote because they dont think that they have any affect  ,F Huh  
F uh  C and  I found that I really like CHINA BEACH  ,F Um    is   is    is   that F um   
 Whats    what are  some other questions they have  , C and  the  C and   the  the   procedure is utterly humiliating  
C And  they seem to last longer than pies around here  ,I know  
I was too ,F Oh  okay laughter 
no  ,C So  its 
Thats what happened with Apollo  ,F Uh  its really cold  
Yeah  ,My husband is even interested in it now  
D You know  I also think it would be funny if  we could know everything about the people that were in there and throw them out  ,Yeah  
I got to where I decided I wanted to pay more rent and get a private bedroom  ,Now theyre going to start to do the same kind of thing  with doctors  
I kept thinking that it was going to get cold one more time  ,I was really  looking forward to summer  thinking F oh  we are going to have some time off 
C So   I  I  had the advantage of having a mom at home that nowadays  kids  its a luxury item for mothers to be home with their kids  ,Yeah  
Laughter,No 
 Thats right  ,Yeah  
Okay ,Yeah  
just work  ,Yeah  
 while trying to stop a robbery , Laughter Yeah  
E I mean    you   E I mean   its    its  funny because technically you do  ,Ill be able to keep that up a little bit  
 C And   F uh  C and then   I worked  in  in  the child care centers  ,F Huh   
That probably helps too , Thats  the biggest problem  
 C but  thats about all the exposure I have to sports ,I wonder if  D you know  maybe I need to bring that to someones attention D you know  
C and  theres a lot of boating out there  ,F Oh  D well  that will be nice though 
  that    just somebody to listen to them ,This is true 
Right ,Uhhuh 
I hope you know more about it than I do  ,yeah  
my husband and I are in such a situation that F uh  F um  Im kind of  F um  not able to do a lot  ,Yeah  
The people there are just  very  very   friendly  , to F um  have little friends  
C And  if you had a car  y   there was nowhere to park it anyway  ,Not as bad as Houston  
yeah ,you can buy regular anymore  
 give me one laughter , C And   C and   youre staying within your  budget and  keep  
C but then  you would have a lot of money laughter , So that  D you know  so that   we have little things that are metric  
C and then  you F uh  put in your liquid ,Uhhuh 
Yeah  ,C so 
Right  , C So   C so   what do you do D you know  
No  ,F Oh  interesting 
  I  I    I   have a  b  big   appreciation for music,I mean its still part of its part of the Houston metroplex 
Right or  their  ,I go yeah  
C but  it seems as though if you really want to set  a t   side time to read the Bible  and you work  and  ,Right  
thats another recipe I guess we could talk about  ,C And  now F uh   
Yeah  ,laughter  Ive been fishing in  the  the  ocean  
and I hated to turn that back in ,Then you are busy children 
D You know  the more trash you have laying around the more bugs you get  ,C and  just like a mommy thats overworked 
Uhhuh ,D Well  Im a little bit ambivalent  
C and  its still  ,uhhuh 
D see  C and  I wish I could go fishing here because I dont really know much about the fishing here  , It  it  looks so easy just slapping paint on  
I was just probably three or four years ,Yeah  
 she was  she felt  that way too  ,I was in the Peace Corps and F um 
D Well  D you know  they also say that most people vote their local politics  that  that  local is  far  much  more important than F uh  national ,Laughter
Laughter thats another F uh  F uh  thorn in my side,Even even theres uh uh  
D Well  D now  that ones fairly easy because thats probably slightly under half an inch  ,thats a good question Fish  
Theres lots of really small ones out there , C And   C and   how does your husband respond to all the new
F gosh  you never will probably ,Yes  
F Uh  were more involved in that now  ,F Oh  my goodness 
Yeah ,C and  he gets F uh  D you know  the full health and dental  
D So  F um   do you think that you  do you think that your  family is pretty rare in that you do a lot of things or just the relationship between you and your daughter ,C because  they really teach you about forty percent less than they used to  
at least half of the residents I would say are  not  not  mentally sound  ,My neighbor A lets see  is Jewish  
Bye ,F Oh  I love them like that 
  C But  you laughter   C so  you   know what  Im saying  ,C And then  she was supposed to have gotten out of active duty  as of last Friday  
I dont know that a cat would do that F uh  laughter , C and   F uh  C but   theyre  
Uhhuh , Yeah  
a friend gave me a recipe that I really D like  for chicken enchiladas ,right  
Its very tedious if you dont have a whole group youre not finishing a quilt in a long time laughter ,D Well  we do  
Breathing,Here  its like   its like  a dollar five 
 I  pick nights pretty much so on T V that I watch different networks  ,C and   I  I  think its  
 Yeah  , I think youre   
C and  theres somebody in the building watching her and all that  ,C And  the season hasnt started yet 
I just really started  F uh  F uh  learning about that  ,Our air conditioner during the summer we  
It was hard to get used to those two different trash cans ,Why not go to adults too 
 yeah  , thats   thats  about the extent of it  
I think so ,Yeah 
 and   or  not and what we needed to do so that  we could achieve them and  the money we could put in at what time ,I do  
D Well  see we have the testing already here  , C so  I dont know if shes going to even use it anymore  
isnt it  Laughter , I  I   feel like its important for young children to read too
C and so    w  w   D you know  what   we do to make contributions so that basically  we go and do things like put in hightech scrubber systems F uh  that F uh  scrub out  the N O X and F uh  V O Cs  and  and  ammonia compounds F uh  like all the acids  to a certain level  ,yeah  
thats a wonderful wonderful job  by Robin Williams and Peter De Niro  ,Uhhuh  
  That  that   that  is a shame that we have this tremendous border of Mexico  ,And then come home and get back into regular clothes again laughter 
C And  if you dont then sometimes you feel like youre looked down upon by people that go back to work  and so youre just wasting your time , I  guess 
 kind of thing ,Uhhuh  
 Right  ,Pretty good 
C but  its a charity for the benefit of this shelter ,C and  I think  if  F uh  if  we just start to put D you know  the nickel deposit on things like F uh  was the case years ago that F uh  it would have more immediate effect F uh   than    
Thats right ,and theyd give me  
