Question,Answer
-- that somebody else looks ] out for the maintenance. /,"{F Oh, } I think so. /"
"{C But, }  {F uh, } I believe Israel does that,  don't they for their, -/","Yes,  /"
-- that work and the percentage  of hours that they work and how that affects their grades.  /,"{F Uh, } I guess my particular beef is that having participated in the [ mi-, + military ] off and on [ over the, + over the ]  years of being called back and things of that nature, is, {F uh, }  I've found that, {D you know, } there's an extraordinary amount of waste.  /"
ignore the others. /,"[ I stay wi-, + I have to stay within ]  it,  /"
Yeah.   /,"# That, # that would be my main objection.  /"
I see.  /,"{D well } there are some of the few organizations that have the funds to, {F uh, } {D you know, } do {D like } big big works <music>.  {F Uh, }  /"
"{C And } we ge-, {D you know, } vacation normally  after you're here for six months  /",Yeah.  /
"FATAL ATTRACTION, [ that, + ] I don't know why I like that movie so much,  /","{F Oh, } you are? /"
"Can you hold just a second, Terry? /",that makes a difference when you have somebody to go with and to do the same the same thing. /
"{C and } I don't think that I saw it in him until maybe last year, /",# That's what sells papers. # /
"{C but, }  [ when you, + when you ]  work out, do you pretty much do it on your own schedule,  /","When my second one was little, they were coming out with SESAME STREET --"
"{C but } they've had up those for quite a while,  /",Okay. /
"{C And } I always wonder whether there are people who know a lot about every area disagreeing with them on everything,","{F Uh, } [ [ you know, + you know, ] + you know ] what I mean -- /"
"[ {C And, } + {C and }  ] --","[ {C and, } +  {C and } ] it's # just great. # /"
I enjoy that.  /,"{C But } getting, {E I mean, } {D well, } {D see, } - /"
We don't run into a lot of problems -- /,# Uh-huh. # /
# Uh-huh. # /,We had a good time. /
I've never actually seen her in concert.  /,"{C And, }  {F uh, } they're pretty liberal on it.  /"
# Right.  /,"{C so } if you have, - /"
"You have to be a very unselfish person [ to, + to ] spend a lot of time with your kids, I # think. # /",yeah. /
but any time you sell a car or buy a car it has to be inspected in this state. /,That's cheaper than we pay. /
{C so } we decided to sell it.  /,"[ I'm, + I'm ] an avid aerobics, <breathing> {F uh, } person and just  very,  very  athletic.  /"
"{C but, } {F uh, } [ they, + they ] were fun games to watch. /",# Huh. # /
Yeah. /,"{C So } we cook a lot of pasta,  and, {F uh, } gravies, and  pizzas, and, {D you know, } roasts, and that kind of thing. /"
"That, - /",Kind of train your mind. /  *[[sv^2]]
-- {C and then } you're just doing repetitious  exercises throughout the whole video  /,"[ They don't, + they don't ] recognize any time difference, do they? /"
"he was raised on a farm in southern Ohio, near Dayton.   /",Yeah <laughter>. /
He's telling me to start the grill. /,On the other hand I know it's a much more polluter than any of the newer model cars I have. /
Okay.  /,"{D you know, } butcher them if they get fat?""  /"
"I, {F uh, } am not one for the, {F uh, } - /","I go no,  /"
"[ They, +  they ] don't really want them around  /","{C So, } {D you know, } if you do have any time, it's kind of like on a rush cycle that you have to get so many other things done, {F uh, } [ ju-, + just ] to maintain your home and maintain the things outside your home [ and then, + plus ] try to have that relationship with your children,  /"
Uh-huh. /,"That he had stopped writing and had stopped,  {D you know, } - /"
sir. /,-- ones I've had. /
"{D You know, } they just do not feel that socially they were given, - /",Isn't it? /
Mine.  /,"{C and } the grass is, {F uh, } this lush green,  /"
Uh-huh. /,She's three and a half -- /
Uh-huh. /,Yeah.  /
-- # I don't have any kids. # /,"{C But } he says Social Security, you don't need to put that down there.  Which I thought was surprising.  /"
"Our district did that for the ninety-one and the ninety [ school year, + {E or } calendar years, ]  /","Do you think that T V is, {F uh, } pretty accurate.  /"
now that there's just a million rap groups  /,"# {F uh, } # was basic, in a, {D you know, }  [ middle, + upper middle ] class area,  /"
"[ {C or, } +  {C or } ]  they don't serve very much of the time  /","[ {D So, } + {D so } ] you went to school then in, - /"
Uh-huh. /,Uh-huh. /
"{D Well, } I don't know,  /","I always liked him,  /"
Did that scare you a little bit?,} twenty-five # percent.  /
"Well, El Paso won't be cold.  /","{F Uh, } she worked a job  until we moved to our new house  /"
"{C But then } again, yeah,  /",Yeah. /
"No,  /",-- come through town and everything  /
{F Um. } /,"{C but } it was a big embankment,  /"
"-- {C and } I thought, that's probably a good idea <laughter> --",Uh-huh. /
"{F Uh, } yeah.  /",{F Huh? } /
{C So } at least they're moving that direction. /,"I  thought I'd grab one of these days,  /"
"[ {C But, }  + {C but } ] it is hard, once they get that age, - /",Is that right? /
"{C and } what he, -/",For some reason I just couldn't do it. /
"{F Oh, } my gosh.  /","No,  /"
[ and + ] he always did it through rhetoric. /,I don't have anything to worry about.  /
-- not so here in Texas. /,# Yeah. # /
# {C So } what # --,"<Laughter>  Okay,  then.  /"
"{D Well, } the only, {F uh, } references that I have seen lately has been, {F uh, } in, part of - /",-- we made a higher and a lower -- /
where we are right now there are very few trees. /,"{C and } when I was looking for the nursing homes, another thing that I learned, {F uh, } - /"
Uh-huh. /,<Child>. /
"{D Well, } you, -/","{D Well, } great. /"
Uh-huh. /,Uh-huh. /
"{C And then } I have one that, {F uh, } just gave me the pin number automatically. /","Uh-huh,  /"
"Especially,","-- # that and school it's not # , -/"
"{C and } now they're stuck with the bill,  /","[ {C and, } + {C because } ] I don't know of any other countries that are doing this -- /"
they thought that was so hysterical. /,Yeah. /
That's interesting. /,Yeah. /
"[ it's + {F uh, } it,  ] - /",{C and } it really damaged the corn -- /
"{C But, }  {F uh. } -/","All I had was sweats,  /"
When they're so cheap too at the video stores that you can. -/,"{F Oh, } that's a good size. /"
Bye <clicking>. /,{C so } we do a lot of boating on. -/
"{C and } he was  [ [ a  d-, +  d-, ] +  a District ] Attorney before, and a prosecutor before  [ becoming, + becoming  ] mayor.  /","{C but } the local  newspaper really goes into, {F uh, } quite a bit of history about the candidate -- /"
<Laughter>.,-- got to. /
"[ I, + I've  ] been thinking about that for years, {F uh, } /","Vivaldi is probably my favorite, {F uh, } composer. /"
"{C and then } on the other hand, I've seen some people  go into the nursing home and just so  happy --",have you participated in anything like that? /
"{C cause } [ his, +  my ] brother plays,  /",<Breathing> {C and } I'll tell you how they handled this  /
"{C But } even just social visits, people don't do that anymore.  /","and roads, is falling apart. /"
"That would be good for a dinner party, [ that, +  {D you know, } to cook that ] because you don't have to deal with eight different things,",Do you know anybody that's ever done this? /
# Yeah. # /,"Right,  /"
"# {D So, } # -/","I've just been so busy, {F uh, } /"
Uh-huh. /,You're aware of that I'm sure. /
"{C but } I really feel [ that, + that ] I'm just getting overtaxed. /","I was going to say because with six  people how do you, {F um, } - /"
No. /,No.  /
this is crummy. /,"{D So, } how do you go?  /"
They're winning  ] forty-one to seven. /,{C and then } you let it  simmer  /
Where they couldn't do that.  /,Yeah. /
"Sure,  /",It seems to me that I'm more uncomfortable  /
"I think that that [ would, + would ] help a lot.  /","# [ [ It, + it's # -- ] +"
{C but } it wasn't the trumpet <laughter>. /,[ {C and } -- +
# Exactly.  # /,"{F Uh, } <laughter> in fact, I don't know if I could have, {F uh, } held up, {F uh, } {D you know, } without my wife, {F uh, } helping [ in # [ this, + #"
"{D Well, } I suppose you may be right on that. /",It was --
I'm a pediatrician. /,-- or lunches  /
I like to knit.  /,"# {D you # know, } - /"
{C so } <laughter> --,"-- everyone's, {D you know } --"
"It's hard to accept the fact that you're unable to pursue life, <throat_clearing> at the level that you did before,  /",Because they're enclosed  /
Uh-huh. /,"{C So, }  we try to hit those places when we can. /"
{C and } then they changed the game. /,"We were going to go for ten weeks, {F uh, }"
Uh-huh.  /,"{C And so, } {F uh, } because based on the number of children and the amount of money, {F uh, } my father brought in, I got a small grant -- /"
"{F Uh, } although we, {F uh, } use to set some, {F uh, } trout lines out  /","{C and } we get students that come in that have been  kicked out of the, {F uh, } parochial  [ and  pub-, +  and,  {F uh, } private ] schools -- /"
"[ I, + I  ] try.  /",Sports car <laughter>. /
"{F Uh, } we moved here a year ago  <child_talking>.  /",Exactly. /
{C And } does he have an option --,# Yeah. # /
"Right,  /","{D Well, } that makes it nice. /"
"I think, - /","and quite frankly, we were afraid of the, of the G M small cars. /"
"Do you, -/",Yeah <noise>.  /
"{C so } that's [ no, +  no ] (( big ))  thing.  /","like I say, they're [ kind of, +  just kind of ] more  (( sturdy ))   than anything, {D you know, }  /"
"{C and } they hit their dogs and try to, - /",<Noise>.
"{C But, } {F uh, } [  it's, + it's ]  been quite an adventure.  /",Oh. /
"[ I've, + I've ] kind of formed the attitude that, {D you know, } [ if I could just, + if I could ] pick two or three shots [ out, + {F uh, } out ] of my game every time and put them together on one hole, then I do pretty good -- /","# {F Oh, } of course.  # /"
"{E I mean, } [ th-, + ]  some of them are even allowed to work,  /","{D Well, } I expected something to leak, {D you know } --"
Nothing.  /,Yeah. /
right. /,Yeah. /
"{A I don't think, } I'm trying to think if it's much local.  /",{C and } I noticed I was spending less and  less time with them  /
"Yeah,  /","{C but } [ [ I think that there is, +  just that, ] +  I think that ] it's just Latin countries are slower in coming around. /"
"{F Oh, } yeah,  /","((   ))  There y-, -/"
"{E I mean } [ it's just, + it's ] a vicious cycle,",I remember my first computer was a T R S eighty with four K on it -- /
"{D Well, } wonderful.   /","{C but } I don't really think [ that, + that ] [ it's, + it's ] in our power to take these people from a sovereign state and say you don't deserve to live, because --"
You must be a  ((   )) . /,"[ it's, + it's ] just <breathing> our criminal system is just so, <breathing> I guess, overloaded,  /"
Yeah. /,"{C or } at least began, was in the talking sta-, -/"
<Child>.,"{C And } [ whe-, + when ]  I finally got over there, it had fallen, {F uh, } two or three francs to the dollar.  /"
"{C and } somebody's come up with a new one that, {F uh, } sort of, - /",Uh-huh. /
{C but } it's so  darn expensive --,Two years. /
yeah. /,"{C So } [ he, + he ] went and got a locking cap  /"
"Yeah,  /","[ [ It just, +   it's, ] +  it's, ] - /"
"{D Well, } it is,  /",Uh-huh. /
Uh-huh.   /,-- too much to see really. /
"Yeah,  /",{C and } they didn't  have much credit available to them. /
"Okay,  /",{D Well } --
I think it was added afterwards <throat_clearing>.  /,That's what I call her. /
# No kidding. #  /,"maybe they're finally waking up {C and } saying, {D you know, } we can't afford this.  /"
"[ i-, + it ] would have to be awfully bad for me to put my parents in there.  /","-- # No,  /"
#{F Huh. }#    *[[slash error]],"[ they never, + they never ] called me,  /"
"<throat_clearing>.  {C And, } {F uh, } we feed the catfish. /",Okay. /
"the representative stood up and said, {D you know,} we can check a guy's credit card instantly,  /","<Clicking> <talking> {F Uh, } I don't know.  /"
{C but } my wife didn't work  /,"{C but } when I do I [ just, + just ] love it. /"
"# I # don't know,  /",Yeah.  /
{C but } <laughter>. -/,"# {D you # know, } [ [ I just, + I, ] + I ] don't think I'd take that chance. /"
"I have little children,  /",# which # I would like to see.   Rather than so many kids getting out of school.  /
"[ And, +",{C but } it's the industrial pollution I should imagine. /
{F Um. } /,-- {C and } that takes a lot of  research  /
Uh-huh. /,do you like it better? /
<breathing> I saw SLEEPING WITH THE ENEMY  /,"[ I'm, + I'm ] sure, /"
"-- [ that has a great, + {A I've not been there,   but } it has a great ] reputation as one of the best restaurants in Dallas,  /",# Was it. # /   *[[listen]]
"It, ] +  it's ] practically the same  thing over and over, {D you know. } /","{F Uh, } did you watch the Bulls this morning? /"
#So# --,{C but } we don't have so much wasted space. /
"it's more, c-, - /",{C and } I'm not saying president Bush made the wrong decision.  /
